dates,codes,values
1963,CHN GDP G,10.2999999952758
1964,CHN GDP G,18.179999994202
1965,CHN GDP G,16.950000002496
1966,CHN GDP G,10.6500000041736
1967,CHN GDP G,-5.77000000422507
1968,CHN GDP G,-4.09999999214143
1969,CHN GDP G,16.9399999961092
1970,CHN GDP G,19.299999996256
1971,CHN GDP G,7.0600000033518
1972,CHN GDP G,3.80999999825444
1973,CHN GDP G,7.7600000016445
1974,CHN GDP G,2.31000000049113
1975,CHN GDP G,8.72000000047512
1976,CHN GDP G,-1.57000000275067
1977,CHN GDP G,7.56999999917167
1978,CHN GDP G,11.1341644119842
1979,CHN GDP G,7.59999999999981
1980,CHN GDP G,7.80669144981421
1981,CHN GDP G,5.17241379310325
1982,CHN GDP G,8.93442622950838
1983,CHN GDP G,10.8352144469525
1984,CHN GDP G,15.1391717583165
1985,CHN GDP G,13.443396226415
1986,CHN GDP G,8.93970893970896
1987,CHN GDP G,11.6889312977098
1988,CHN GDP G,11.2345151644597
1989,CHN GDP G,4.18586789554539
1990,CHN GDP G,3.90711389605592
1991,CHN GDP G,9.29407591344456
1992,CHN GDP G,14.2161635832522
1993,CHN GDP G,13.8675760159136
1994,CHN GDP G,13.0521587222356
1995,CHN GDP G,10.9492273730686
1996,CHN GDP G,9.92837246319209
1997,CHN GDP G,9.23076923076864
1998,CHN GDP G,7.83761391880707
1999,CHN GDP G,7.66748617086645
2000,CHN GDP G,8.49150849150864
2001,CHN GDP G,8.33991054985535
2002,CHN GDP G,9.13064594463313
2003,CHN GDP G,10.0356030262573
2004,CHN GDP G,10.1112234580385
2005,CHN GDP G,11.3957759412304
2006,CHN GDP G,12.7194790206909
2007,CHN GDP G,14.2313880356883
2008,CHN GDP G,9.65428937259918
2009,CHN GDP G,9.39981317141508
2010,CHN GDP G,10.6361404632299
2011,CHN GDP G,9.55091409001014
2012,CHN GDP G,7.8596274932851
2013,CHN GDP G,7.76861528412806
2014,CHN GDP G,7.29951892117124
2015,CHN GDP G,6.90531667019702
2016,CHN GDP G,6.73667525262536
2017,CHN GDP G,6.75700761091511
2018,CHN GDP G,6.56697385961871
1961,SA GDP G,3.8447514623672
1962,SA GDP G,6.17788309531487
1963,SA GDP G,7.3736127850247
1964,SA GDP G,7.93978166914069
1965,SA GDP G,6.12276082720416
1966,SA GDP G,4.43830826689234
1967,SA GDP G,7.19657594081102
1968,SA GDP G,4.15344481422642
1969,SA GDP G,4.71583060864083
1970,SA GDP G,5.24867413450896
1971,SA GDP G,4.27897042944383
1972,SA GDP G,1.65476204059776
1973,SA GDP G,4.57199781123276
1974,SA GDP G,6.11105446101551
1975,SA GDP G,1.69544817726516
1976,SA GDP G,2.24990405393839
1977,SA GDP G,-0.0940375339470734
1978,SA GDP G,3.01454896583107
1979,SA GDP G,3.79050381200763
1980,SA GDP G,6.62058508131413
1981,SA GDP G,5.36073741903375
1982,SA GDP G,-0.383390768760975
1983,SA GDP G,-1.84654447698227
1984,SA GDP G,5.09911490972954
1985,SA GDP G,-1.21148371912611
1986,SA GDP G,0.01783477808317
1987,SA GDP G,2.10073522073282
1988,SA GDP G,4.20013254933286
1989,SA GDP G,2.39478415860124
1990,SA GDP G,-0.317785675763304
1991,SA GDP G,-1.01821987321358
1992,SA GDP G,-2.13705688877369
1993,SA GDP G,1.23351991332927
1994,SA GDP G,3.20000104934246
1995,SA GDP G,3.09999541832644
1996,SA GDP G,4.29999896093463
1997,SA GDP G,2.60000211628014
1998,SA GDP G,0.50000090515276
1999,SA GDP G,2.39999624456443
2000,SA GDP G,4.20000347551795
2001,SA GDP G,2.69999456713741
2002,SA GDP G,3.70038235175596
2003,SA GDP G,2.9490791374903
2004,SA GDP G,4.55455274472709
2005,SA GDP G,5.2770563116366
2006,SA GDP G,5.60379765712011
2007,SA GDP G,5.36047589053663
2008,SA GDP G,3.19104674115678
2009,SA GDP G,-1.53808933379921
2010,SA GDP G,3.03973081360166
2011,SA GDP G,3.2841681423114
2012,SA GDP G,2.21335480848441
2013,SA GDP G,2.4852005003106
2014,SA GDP G,1.84699160365717
2015,SA GDP G,1.19373280124428
2016,SA GDP G,0.399087929556359
2017,SA GDP G,1.41451262585058
2018,SA GDP G,0.787055570495099
